Date,Daily Max 1-hour NO2 Concentration(ppb),DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,0EM_HIGH,0EM_AVG,0EM_LOW,DEW_HIGH,DEW_AVG,DEW_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SLP_HIGH,SLP_AVG,SLP_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIN_HIGH,WIN_AVG,PRECIP,MUSIC
02/01/2015,6,6,22,92,23,15,7,16,12,-1,100,77,53,1025,1015,1012,16,13,6,27,11,0.51,0
02/02/2015,12.1,11,24,100,9,5,1,-1,-4,-7,62,48,34,1030,1028,1025,16,16,16,24,9,0,0
02/03/2015,18.8,17,24,100,6,6,4,6,3,-2,96,76,55,1028,1025,1023,16,10,3,13,3,6.6,0
02/04/2015,15.2,14,24,100,13,9,6,10,7,5,100,92,83,1023,1020,1017,16,8,2,13,4,1.52,0
02/05/2015,10.1,9,24,100,11,7,3,9,2,-1,92,77,62,1032,1029,1023,16,16,8,26,10,T,0
02/06/2015,17.5,16,24,100,16,9,3,6,3,1,86,69,51,1031,1028,1024,16,15,11,16,4,0,0
02/07/2015,16.2,15,24,100,21,13,4,12,8,4,93,71,49,1023,1019,1015,16,13,6,21,8,0,0
02/08/2015,14.5,13,22,92,26,20,14,14,13,10,93,72,50,1016,1012,1009,16,16,13,23,9,0,0
02/09/2015,33.4,31,24,100,28,20,11,10,7,3,77,49,20,1021,1018,1016,16,16,16,14,5,0,0
02/10/2015,17.7,16,24,100,27,18,8,9,7,4,86,57,28,1018,1015,1013,16,16,16,16,6,0,0
02/11/2015,17.4,16,24,100,26,18,11,12,9,4,100,64,27,1023,1017,1014,16,11,2,26,8,0,0
02/12/2015,12.5,11,24,100,17,12,7,4,1,-1,65,51,36,1030,1028,1024,16,16,16,26,11,0,0
02/13/2015,14.7,13,24,100,21,13,4,7,3,0,79,58,37,1029,1026,1023,16,16,16,16,4,0,0
02/14/2015,9.6,8,24,100,26,17,9,12,8,6,86,60,33,1026,1023,1020,16,16,16,14,5,0,0
02/15/2015,9.8,8,20,83,20,17,14,17,14,11,87,80,73,1021,1016,1012,16,16,11,16,8,T,0
02/16/2015,3,3,24,100,19,11,2,16,4,-2,93,79,64,1024,1017,1010,16,13,4,27,15,0.25,0
02/17/2015,25.9,24,24,100,13,7,1,1,-3,-5,82,59,35,1027,1024,1022,16,16,16,21,11,0,0
02/18/2015,31.2,29,23,96,19,9,0,1,-2,-4,89,56,22,1029,1026,1024,16,16,16,21,6,0,0
02/19/2015,33.1,31,24,100,21,12,3,9,4,-1,85,61,37,1029,1024,1019,16,16,16,23,8,0,0
02/20/2015,8.7,8,24,100,24,18,12,16,13,9,86,72,57,1019,1013,1008,16,16,14,26,14,0,0
02/21/2015,5.2,5,24,100,26,19,13,16,13,7,87,69,50,1016,1012,1009,16,16,14,23,9,0,0
02/22/2015,6.4,6,22,92,13,8,3,11,7,1,93,80,66,1030,1021,1014,16,14,4,32,11,0.51,0
02/23/2015,3.4,3,24,100,3,1,-1,0,-2,-3,92,87,82,1034,1031,1029,16,12,4,27,15,0.25,0
02/24/2015,11.6,10,24,100,3,1,-1,1,-2,-3,92,84,76,1030,1024,1016,16,13,4,14,7,0,0
02/25/2015,23.4,22,24,100,17,9,2,2,1,-2,100,64,27,1017,1014,1010,16,13,5,21,5,0.25,0
02/26/2015,23.2,22,24,100,11,6,1,3,-1,-6,96,74,52,1029,1022,1013,16,15,8,24,11,0,0
02/27/2015,6.9,6,24,100,2,1,-1,-1,-4,-7,92,72,52,1031,1029,1027,16,12,3,21,11,0.25,0
02/28/2015,6.9,6,24,100,2,1,-1,1,-1,-3,100,93,85,1029,1026,1025,16,8,2,16,8,2.54,0
03/01/2015,6.4,6,22,92,6,4,2,5,3,1,100,95,89,1028,1026,1023,13,6,3,16,9,2.29,0
03/02/2015,11.4,10,24,100,7,6,3,6,4,3,100,95,89,1029,1025,1022,16,8,2,16,6,0.51,0
03/03/2015,14.8,13,24,100,17,11,5,15,9,5,100,95,90,1021,1015,1011,8,4,0,13,2,0.25,0
03/04/2015,15.1,14,24,100,21,11,1,19,13,0,100,95,89,1025,1012,1009,16,6,0,34,9,3.81,0
03/05/2015,10,9,24,100,8,4,-1,0,-4,-8,89,61,33,1037,1031,1023,16,15,3,32,16,3.3,0
03/06/2015,26,25,24,100,14,6,-3,-2,-5,-7,81,54,27,1038,1035,1032,16,16,16,13,4,0,0
03/07/2015,32.1,30,24,100,16,9,3,3,-1,-4,82,56,29,1033,1029,1025,16,16,16,16,4,T,0
03/08/2015,10.6,9,22,92,12,11,8,11,9,3,100,69,38,1026,1022,1018,16,5,1,19,4,11.43,0
03/09/2015,9.1,8,24,100,13,11,9,11,9,9,100,97,93,1018,1014,1012,16,8,2,13,6,55.12,0
03/10/2015,7,7,24,100,17,14,10,11,10,9,96,78,60,1021,1017,1014,16,16,16,14,6,0,0
03/11/2015,7.4,7,24,100,15,14,12,11,10,9,86,79,72,1025,1023,1021,16,16,16,21,9,0,0
03/12/2015,9.9,8,24,100,23,17,11,13,11,9,96,73,49,1022,1019,1015,16,16,14,21,8,0.51,0
03/13/2015,14.4,13,24,100,26,19,12,12,11,8,100,68,36,1018,1016,1014,16,12,2,19,5,0,1
03/14/2015,12.8,11,24,100,26,19,12,12,9,7,89,61,33,1023,1019,1016,16,16,16,24,9,0,1
03/15/2015,21.8,20,20,83,21,16,11,12,11,9,89,72,55,1027,1025,1023,16,16,16,19,5,0,1
03/16/2015,22.8,21,21,88,25,18,11,17,13,11,100,73,46,1025,1023,1021,16,15,6,16,4,0,1
03/17/2015,12.7,11,24,100,25,21,17,19,17,16,100,82,64,1022,1020,1016,16,13,6,14,5,0.25,1
03/18/2015,8.9,8,23,96,27,22,16,18,16,14,93,74,54,1018,1015,1012,16,16,13,21,7,3.3,1
03/19/2015,9.7,8,24,100,28,23,17,19,18,16,100,79,58,1016,1014,1012,16,14,3,19,7,0,1
03/20/2015,10.3,9,24,100,22,18,14,19,16,13,93,89,84,1021,1019,1015,16,9,1,24,7,29.72,1
03/21/2015,4.9,4,24,100,16,14,13,14,13,12,100,95,90,1021,1019,1016,16,11,3,16,7,10.92,1
03/22/2015,8.7,8,22,92,26,20,14,15,14,13,100,75,50,1019,1017,1014,16,16,11,14,7,0,1
03/23/2015,16.5,15,24,100,27,19,11,15,13,11,100,73,45,1020,1018,1015,16,16,10,14,5,0,1
03/24/2015,14,13,24,100,28,22,15,17,16,14,97,72,47,1017,1015,1012,16,16,14,23,11,0,0
03/25/2015,6,6,24,100,29,23,17,17,16,15,93,72,51,1015,1013,1010,16,16,16,26,12,0,0
03/26/2015,3.5,3,24,100,21,17,12,18,9,1,93,62,31,1022,1017,1011,16,15,4,32,16,1.27,0
03/27/2015,13.8,12,24,100,28,18,8,7,2,-2,71,44,16,1023,1021,1019,16,16,16,21,6,0,0
03/28/2015,20.2,19,24,100,29,19,9,9,7,4,86,54,22,1021,1019,1016,16,16,16,21,8,0,0
03/29/2015,6.8,6,22,92,29,22,14,16,13,10,93,67,40,1020,1018,1015,16,16,16,27,14,0,0
03/30/2015,9.2,8,24,100,27,22,18,18,17,16,93,76,58,1022,1020,1017,16,16,14,19,8,0,0
03/31/2015,5.2,5,24,100,28,23,19,19,17,15,93,74,54,1019,1016,1013,16,16,11,21,11,0,0
04/01/2015,9.2,8,24,100,28,24,20,19,18,16,90,71,51,1015,1013,1010,16,14,6,23,11,T,0
04/02/2015,6.7,6,24,100,29,24,20,20,19,17,90,76,62,1015,1012,1011,16,14,10,24,13,0,0
04/03/2015,5.8,5,24,100,30,24,19,20,17,9,90,67,43,1022,1015,1012,16,13,6,27,11,0,0
04/04/2015,6,6,24,100,21,17,13,9,7,3,61,53,44,1027,1024,1022,16,16,16,27,12,0,0
04/05/2015,6.6,6,22,92,21,18,15,18,15,9,100,78,56,1021,1016,1012,16,7,1,16,7,0.51,0
04/06/2015,12.1,11,24,100,29,24,18,19,18,18,100,76,51,1016,1014,1011,16,13,3,23,12,0,0
04/07/2015,10.5,9,24,100,31,26,20,19,18,17,90,71,51,1017,1014,1011,16,16,13,26,12,0,0
04/08/2015,7,7,24,100,26,23,21,21,19,18,90,81,71,1016,1013,1010,16,15,10,26,13,T,0
04/09/2015,5.7,5,24,100,31,26,21,22,19,18,90,73,55,1013,1011,1007,16,15,11,24,12,0,0
04/10/2015,10.9,9,24,100,23,18,13,20,12,8,93,70,47,1023,1019,1014,16,16,16,23,8,2.29,0
04/11/2015,7.6,7,24,100,21,18,15,19,17,12,100,86,72,1020,1017,1014,16,8,1,11,4,T,0
04/12/2015,4.7,4,20,83,28,24,19,21,19,18,100,81,62,1015,1013,1008,16,8,0,21,8,0.25,0
04/13/2015,6.8,6,24,100,31,24,18,21,18,12,100,67,34,1015,1011,1009,16,14,4,21,7,2.29,0
04/14/2015,2.6,2,24,100,25,19,14,16,13,9,87,67,46,1020,1017,1014,16,16,16,19,9,0,0
04/15/2015,17,16,24,100,28,21,12,18,13,10,93,69,45,1017,1015,1012,16,16,16,23,6,0,0
04/16/2015,14.1,13,24,100,27,23,19,21,19,18,93,78,62,1015,1013,1010,16,14,6,27,7,0.25,0
04/17/2015,12,11,24,100,24,22,19,21,18,16,93,81,69,1015,1013,1011,16,13,3,19,7,10.41,0
04/18/2015,6.7,6,24,100,25,19,12,19,17,12,100,82,64,1014,1011,1007,16,14,1,45,6,14.48,0
04/19/2015,5.9,5,22,92,32,23,14,21,14,4,100,60,20,1011,1009,1006,16,11,0,24,9,0,0
04/20/2015,13.7,12,24,100,23,18,12,9,6,2,64,48,32,1017,1015,1012,16,16,16,24,9,0,0
04/21/2015,20.8,19,23,96,27,19,11,17,12,8,89,66,43,1016,1014,1012,16,16,16,21,8,0,0
04/22/2015,8.9,8,24,100,27,23,19,20,18,17,93,79,64,1014,1012,1009,16,15,11,26,10,T,0
04/23/2015,10.1,9,24,100,29,25,20,22,21,19,100,85,69,1014,1011,1010,16,12,1,16,6,0,0
04/24/2015,11.6,10,24,100,29,25,21,23,22,21,100,85,69,1013,1010,1005,16,10,2,23,8,10.92,0
04/25/2015,8,8,24,100,34,28,21,23,18,8,100,61,21,1010,1007,1004,16,11,3,19,7,1.02,0
04/26/2015,4.2,4,22,92,30,26,21,22,21,17,93,77,61,1008,1004,1000,16,12,2,29,13,2.03,0
04/27/2015,7.4,7,24,100,29,23,17,21,17,11,100,66,32,1009,1005,1000,16,14,1,27,7,14.22,0
04/28/2015,2.3,2,24,100,18,15,12,15,11,8,84,74,64,1020,1015,1010,16,16,16,27,13,0,0
04/29/2015,10.9,9,24,100,25,17,9,9,7,5,93,61,29,1020,1017,1014,16,16,16,19,8,0,0
04/30/2015,15.9,14,24,100,28,19,10,11,9,8,89,60,31,1017,1015,1013,16,16,13,16,4,0,0
05/01/2015,15.7,14,24,100,29,21,13,13,11,10,86,60,33,1018,1016,1015,16,16,16,16,3,0,0
05/02/2015,9.7,8,24,100,28,22,14,13,12,11,80,58,36,1019,1016,1014,16,16,16,21,7,0,0
05/03/2015,4.1,4,22,92,29,22,14,17,14,13,93,67,40,1017,1015,1013,16,16,16,24,10,0,0
05/04/2015,7.4,7,19,79,29,24,19,19,17,15,93,71,49,1019,1016,1014,16,15,6,26,13,0,0
05/05/2015,6.8,6,24,100,28,24,19,21,19,17,100,77,54,1016,1014,1011,16,10,1,32,12,97.54,0
05/06/2015,7.5,7,24,100,31,26,22,22,21,20,93,74,55,1015,1013,1009,16,13,5,23,13,0.25,0
05/07/2015,6.4,6,24,100,28,26,23,23,22,21,87,81,74,1014,1011,1009,16,15,4,27,15,0.51,0
05/08/2015,8.1,8,24,100,26,24,23,24,23,21,93,88,82,1013,1011,1008,16,8,1,21,10,7.37,0
05/09/2015,3.2,3,24,100,29,26,22,23,22,21,93,79,65,1012,1010,1007,16,11,3,27,14,0.51,0
05/10/2015,2.6,2,20,83,31,28,24,22,22,21,87,71,55,1011,1009,1007,16,14,11,27,16,0,0
05/11/2015,8.4,8,24,100,26,23,20,23,19,16,94,78,62,1020,1015,1010,16,12,2,19,8,10.16,0
05/12/2015,5.8,5,24,100,21,19,18,19,18,17,100,91,81,1023,1021,1017,16,12,2,16,9,5.84,0
05/13/2015,11.1,10,24,100,21,19,18,21,19,18,100,97,93,1021,1019,1016,16,9,0,23,7,28.45,0
05/14/2015,7.4,7,24,100,31,26,20,23,22,19,100,83,65,1019,1017,1014,16,10,1,24,9,2.03,0
05/15/2015,9.6,8,24,100,25,22,19,22,20,18,100,87,74,1017,1014,1011,16,13,1,21,6,9.14,0
05/16/2015,4.4,4,24,100,31,25,19,23,21,18,97,79,61,1013,1011,1008,16,15,10,29,14,0,0
05/17/2015,6.9,6,22,92,29,24,19,22,20,18,100,83,65,1017,1014,1009,16,10,1,35,9,66.04,0
05/18/2015,8.8,8,24,100,31,27,23,24,22,21,93,77,61,1019,1017,1014,16,14,5,19,7,0,0
05/19/2015,6.5,6,24,100,32,28,23,24,22,21,87,73,59,1018,1015,1011,16,13,8,27,12,T,0
05/20/2015,11.5,10,24,100,32,27,22,24,22,21,94,75,56,1016,1014,1011,16,13,2,21,7,8.38,0
05/21/2015,5.1,5,24,100,24,21,17,23,17,15,94,84,73,1020,1019,1014,16,16,11,24,10,0.51,0
05/22/2015,7.7,7,24,100,25,21,17,22,19,16,100,91,82,1020,1019,1016,16,9,1,16,7,0.76,0
05/23/2015,6.3,6,24,100,31,25,19,23,22,19,100,83,65,1020,1016,1012,16,10,1,29,11,35.81,0
05/24/2015,5.9,5,22,92,28,23,18,21,20,17,93,81,69,1014,1012,1009,16,15,8,13,9,19.3,0
05/25/2015,9.3,8,24,100,28,23,19,23,21,19,100,87,74,1013,1010,1007,16,11,0,26,8,132.08,0
05/26/2015,11.6,10,24,100,32,26,19,24,21,18,100,80,59,1016,1014,1012,16,10,2,21,9,0,0
05/27/2015,10.8,9,24,100,29,24,19,24,21,18,94,82,69,1019,1017,1014,16,15,10,19,8,T,0
05/28/2015,7.5,7,24,100,31,26,21,26,23,21,94,80,65,1019,1016,1011,16,13,3,24,9,5.08,0
05/29/2015,8.7,8,24,100,32,25,18,23,19,17,100,76,51,1017,1014,1009,16,13,2,34,7,17.02,0
05/30/2015,9.8,8,24,100,31,26,21,21,20,18,93,74,55,1018,1016,1014,16,16,13,19,2,T,0
05/31/2015,10.5,9,22,92,30,25,19,19,18,16,90,67,44,1021,1018,1016,16,16,16,14,4,0,0
06/01/2015,17.1,16,24,100,31,24,18,19,18,17,93,70,46,1019,1017,1015,16,16,14,13,3,0,0
06/02/2015,11.7,10,24,100,32,26,19,21,19,18,93,70,46,1017,1014,1012,16,16,16,14,3,0,0
06/03/2015,10.8,9,24,100,32,26,19,21,19,18,90,69,47,1015,1013,1011,16,16,16,21,7,0,0
06/04/2015,7.3,7,24,100,31,26,20,21,19,17,90,68,45,1016,1014,1012,16,16,16,19,6,0,0
06/05/2015,10,9,24,100,32,27,21,22,20,19,97,72,47,1019,1016,1014,16,16,16,19,6,T,0
06/06/2015,11.6,10,24,100,32,27,21,21,19,18,97,72,46,1016,1015,1013,16,16,16,14,4,0,0
06/07/2015,10.3,9,20,83,33,27,21,21,19,18,97,71,44,1015,1014,1012,16,16,16,19,7,0,0
06/08/2015,7,7,24,100,34,28,22,22,20,18,93,67,41,1015,1014,1012,16,16,16,14,4,0,0
06/09/2015,6.5,6,18,75,35,29,22,21,19,16,87,60,33,1014,1012,1009,16,16,16,13,5,0,0
06/10/2015,7.5,7,22,92,34,28,22,21,20,19,79,62,44,1011,1010,1008,16,16,16,16,6,0,0
06/11/2015,12,11,19,79,34,29,23,22,21,21,93,71,49,1012,1009,1007,16,16,16,24,11,0,0
06/12/2015,4.2,4,24,100,34,29,24,24,23,22,88,70,52,1011,1010,1008,16,16,16,21,10,0.25,0
06/13/2015,4.5,4,24,100,35,29,24,23,22,21,94,70,46,1012,1010,1008,16,16,16,29,11,T,0
06/14/2015,5.2,5,22,92,30,26,22,24,23,22,100,87,74,1014,1012,1010,16,14,0,21,9,34.04,0
06/15/2015,6.2,6,24,100,32,28,23,24,23,21,100,78,55,1015,1013,1010,16,15,3,26,6,4.83,0
06/16/2015,4.3,4,24,100,28,26,23,24,23,21,94,84,74,1014,1012,1008,16,13,1,24,11,34.04,0
06/17/2015,6.4,6,18,75,32,27,22,25,23,22,100,83,65,1014,1011,1007,16,11,0,37,8,67.56,0
06/18/2015,4.1,4,24,100,32,28,23,24,23,21,100,82,64,1016,1014,1012,16,16,11,19,6,0,0
06/19/2015,7.3,7,24,100,29,26,22,24,23,21,94,87,79,1019,1016,1014,16,13,0,21,2,27.69,0
06/20/2015,6.6,6,24,100,28,26,22,25,23,21,100,90,79,1018,1016,1014,16,14,1,27,5,12.45,0
06/21/2015,7.8,7,22,92,30,26,22,26,24,21,100,85,70,1019,1017,1015,16,11,1,27,7,23.62,0
06/22/2015,4.9,4,24,100,32,27,22,25,23,22,100,84,68,1020,1018,1016,16,15,10,16,8,0,0
06/23/2015,7.3,7,24,100,33,29,24,24,23,22,94,73,52,1022,1019,1017,16,16,16,21,8,0,0
06/24/2015,6.2,6,24,100,33,28,23,23,23,21,100,78,56,1022,1020,1017,16,16,16,19,5,0,0
06/25/2015,6.1,6,24,100,34,28,23,23,22,21,100,76,52,1020,1018,1014,16,16,16,19,6,0,0
06/26/2015,6.2,6,24,100,34,29,24,23,23,21,94,73,52,1017,1015,1012,16,16,16,16,9,0,0
06/27/2015,7.4,7,24,100,33,28,23,24,23,21,94,75,56,1017,1015,1014,16,16,10,23,2,0.25,0
06/28/2015,12.4,11,22,92,33,28,23,24,23,21,94,73,52,1018,1016,1014,16,15,3,21,3,2.03,0
06/29/2015,3.3,3,24,100,34,29,23,23,22,21,100,75,49,1016,1015,1012,16,15,8,16,8,0,0
06/30/2015,12.5,11,24,100,34,29,23,24,23,22,100,76,52,1019,1016,1014,16,12,1,23,6,19.05,0
07/01/2015,3.8,3,24,100,33,27,22,24,22,21,93,78,63,1018,1016,1015,16,16,16,27,7,T,0
07/02/2015,4.9,4,24,100,33,27,21,23,22,21,100,78,56,1017,1015,1013,16,15,10,26,9,T,0
07/03/2015,3.1,3,24,100,33,29,24,23,22,21,88,69,49,1017,1014,1012,16,15,11,19,10,T,0
07/04/2015,3,3,24,100,33,29,24,23,23,22,94,73,52,1017,1015,1012,16,16,14,23,10,0,0
07/05/2015,0.8,0,20,83,33,29,24,24,23,22,94,75,56,1019,1016,1013,16,16,13,23,12,0,0
07/06/2015,0.9,0,24,100,33,29,25,23,22,21,88,72,55,1018,1015,1012,16,15,11,26,13,0,0
07/07/2015,2.3,2,24,100,33,29,26,24,23,21,85,71,56,1016,1014,1012,16,16,13,26,13,T,0
07/08/2015,1,1,24,100,33,29,26,23,22,21,85,69,52,1017,1015,1013,16,14,10,29,13,0,0
07/09/2015,2.7,2,24,100,34,29,24,23,22,19,88,65,41,1019,1017,1015,16,14,10,26,12,0,0
07/10/2015,3,3,24,100,34,29,23,23,21,18,94,68,41,1020,1018,1015,16,15,10,21,10,0,0
07/11/2015,3.5,3,24,100,34,28,23,23,21,19,94,69,44,1021,1019,1017,16,16,13,23,8,0,0
07/12/2015,3.2,3,22,92,34,29,23,23,22,20,87,67,46,1020,1017,1015,16,16,16,19,9,0,0
07/13/2015,5.4,5,24,100,36,30,24,23,22,20,94,69,43,1016,1013,1010,16,16,14,21,8,0,0
07/14/2015,4.9,4,24,100,36,30,23,22,21,17,87,61,34,1014,1011,1009,16,16,16,16,10,0,0
07/15/2015,3.2,3,24,100,35,29,24,22,21,19,87,64,41,1015,1013,1010,16,16,16,21,9,0,0
07/16/2015,3.6,3,24,100,35,29,23,22,21,19,93,69,44,1016,1014,1011,16,15,6,19,9,0,0
07/17/2015,0.9,0,24,100,36,30,24,23,22,21,88,66,43,1016,1014,1010,16,16,16,21,11,0,0
07/18/2015,1.9,1,24,100,37,31,25,23,22,21,88,65,42,1015,1014,1013,16,16,16,23,12,0,0
07/19/2015,3.5,3,22,92,36,31,24,23,22,20,88,65,42,1017,1015,1012,16,16,16,21,9,0,0
07/20/2015,5.3,5,24,100,36,30,23,23,22,19,94,66,38,1016,1013,1010,16,16,13,19,8,0,0
07/21/2015,3.9,3,24,100,36,30,24,23,22,19,94,66,38,1014,1012,1009,16,16,13,21,10,0,0
07/22/2015,1.8,1,24,100,36,31,25,23,22,20,85,64,42,1014,1012,1009,16,16,16,21,11,0,0
07/23/2015,3.2,3,24,100,37,31,25,23,21,18,88,62,35,1017,1014,1012,16,16,16,23,10,0,0
07/24/2015,1.9,1,24,100,37,31,25,23,22,20,85,62,38,1018,1015,1012,16,16,16,21,10,0,0
07/25/2015,3.5,3,24,100,37,31,24,23,21,19,94,66,38,1017,1014,1010,16,16,16,19,8,0,0
07/26/2015,1.9,1,22,92,37,31,24,24,22,20,94,67,40,1014,1012,1010,16,15,10,19,9,0,0
07/27/2015,2.3,2,24,100,38,32,25,24,22,19,88,62,35,1015,1012,1009,16,14,8,21,9,0,0
07/28/2015,1.2,1,23,96,38,32,25,24,22,18,91,63,35,1016,1013,1011,16,15,10,23,12,0,0
07/29/2015,3.7,3,24,100,38,32,24,23,22,18,88,61,33,1018,1015,1013,16,16,16,19,9,0,0
07/30/2015,14.2,13,24,100,38,31,24,22,19,16,82,55,27,1018,1016,1014,16,16,16,16,3,0,0
07/31/2015,16.6,15,24,100,39,32,26,21,20,17,69,52,35,1016,1015,1012,16,16,16,21,6,0,0
08/01/2015,12.4,11,24,100,37,30,23,18,16,13,68,47,25,1016,1014,1012,16,16,16,16,4,0,0
08/02/2015,9.1,8,20,83,38,31,24,19,16,14,69,48,26,1013,1012,1009,16,16,16,16,5,0,0
08/03/2015,10.2,9,24,100,37,31,24,21,18,16,79,54,29,1012,1011,1010,16,16,16,21,6,0,0
08/04/2015,7.5,7,24,100,38,32,25,23,21,19,88,62,35,1016,1012,1011,16,16,16,19,10,0,0
08/05/2015,6.3,6,24,100,38,32,26,24,22,18,85,59,33,1016,1013,1011,16,16,16,21,11,0,0
08/06/2015,7.2,7,24,100,39,32,25,23,22,18,85,59,33,1016,1012,1009,16,16,16,21,11,0,0
08/07/2015,5.9,5,24,100,38,32,24,23,21,19,88,61,33,1014,1011,1009,16,16,16,21,10,0,0
08/08/2015,6.2,6,24,100,39,32,24,23,23,22,100,66,31,1011,1011,1011,16,16,16,32,16,0,0
08/09/2015,5.9,5,22,92,39,32,23,,,,100,65,29,,,,,,,,,0,0
08/10/2015,11.1,10,24,100,41,32,23,,,,100,62,24,,,,,,,23,9,0,0
08/11/2015,9,8,24,100,41,32,24,,,,,,,,,,,,,,,0,0
08/12/2015,13.1,12,24,100,41,33,26,21,20,19,55,43,31,1016,1014,1013,16,16,16,21,4,0,0
08/13/2015,14.5,13,24,100,40,33,26,21,19,17,74,51,27,1016,1014,1012,16,16,16,16,5,0,0
08/14/2015,10.4,9,24,100,38,32,26,23,21,18,85,58,31,1016,1014,1012,16,16,16,16,7,0,0
08/15/2015,11.7,10,24,100,37,32,26,23,19,13,74,54,33,1017,1014,1012,16,16,16,16,5,0,0
08/16/2015,10.5,9,22,92,37,31,24,21,19,16,82,58,33,1015,1013,1011,16,16,13,21,6,0,0
08/17/2015,9.7,8,19,79,37,30,23,22,20,18,87,61,35,1015,1013,1010,16,16,14,19,6,0,0
08/18/2015,7.6,7,19,79,37,31,24,23,21,18,88,62,35,1013,1010,1006,16,16,16,23,12,0,0
08/19/2015,4.8,4,24,100,37,32,26,23,22,19,85,62,39,1011,1009,1006,16,16,16,21,9,0,0
08/20/2015,14.1,13,24,100,29,26,23,23,22,19,94,78,62,1016,1014,1011,16,14,1,21,6,8.89,0
08/21/2015,14.4,13,24,100,33,28,22,23,22,19,93,73,52,1017,1014,1011,16,14,6,23,8,T,0
